ROI,mask_path
Tonsil_Test,masks/17 11 2021 TMA2_s0_a1_ac_ilastik_s2_Probabilities_mask.tiff
3A3,masks/17 11 2021 TMA2_s0_a10_ac_ilastik_s2_Probabilities_mask.tiff
BrainCtrl,masks/17 11 2021 TMA2_s0_a11_ac_ilastik_s2_Probabilities_mask.tiff
2A3_Test,masks/17 11 2021 TMA2_s0_a12_ac_ilastik_s2_Probabilities_mask.tiff
Tonsil,masks/17 11 2021 TMA2_s0_a2_ac_ilastik_s2_Probabilities_mask.tiff
3B3,masks/17 11 2021 TMA2_s0_a3_ac_ilastik_s2_Probabilities_mask.tiff
3B2,masks/17 11 2021 TMA2_s0_a4_ac_ilastik_s2_Probabilities_mask.tiff
3B1,masks/17 11 2021 TMA2_s0_a5_ac_ilastik_s2_Probabilities_mask.tiff
2B3,masks/17 11 2021 TMA2_s0_a6_ac_ilastik_s2_Probabilities_mask.tiff
2A3,masks/17 11 2021 TMA2_s0_a7_ac_ilastik_s2_Probabilities_mask.tiff
3A1,masks/17 11 2021 TMA2_s0_a8_ac_ilastik_s2_Probabilities_mask.tiff
3A2,masks/17 11 2021 TMA2_s0_a9_ac_ilastik_s2_Probabilities_mask.tiff
7A1,masks/19 11 2021 N403_s0_a1_ac_ilastik_s2_Probabilities_mask.tiff
7A2,masks/19 11 2021 N403_s0_a2_ac_ilastik_s2_Probabilities_mask.tiff
7A3,masks/19 11 2021 N403_s0_a3_ac_ilastik_s2_Probabilities_mask.tiff
2A2,masks/19 11 2021 TMA1_s0_a1_ac_ilastik_s2_Probabilities_mask.tiff
1B1,masks/19 11 2021 TMA1_s0_a10_ac_ilastik_s2_Probabilities_mask.tiff
2A1,masks/19 11 2021 TMA1_s0_a2_ac_ilastik_s2_Probabilities_mask.tiff
1A3,masks/19 11 2021 TMA1_s0_a3_ac_ilastik_s2_Probabilities_mask.tiff
1A2,masks/19 11 2021 TMA1_s0_a4_ac_ilastik_s2_Probabilities_mask.tiff
1A1,masks/19 11 2021 TMA1_s0_a5_ac_ilastik_s2_Probabilities_mask.tiff
2B2,masks/19 11 2021 TMA1_s0_a6_ac_ilastik_s2_Probabilities_mask.tiff
2B1,masks/19 11 2021 TMA1_s0_a7_ac_ilastik_s2_Probabilities_mask.tiff
1B3,masks/19 11 2021 TMA1_s0_a8_ac_ilastik_s2_Probabilities_mask.tiff
1B2,masks/19 11 2021 TMA1_s0_a9_ac_ilastik_s2_Probabilities_mask.tiff
8A1,masks/21 11 2021 N554_s0_a1_ac_ilastik_s2_Probabilities_mask.tiff
8A2,masks/21 11 2021 N554_s0_a2_ac_ilastik_s2_Probabilities_mask.tiff
8A3,masks/21 11 2021 N554_s0_a3_ac_ilastik_s2_Probabilities_mask.tiff
6A3,masks/21 11 2021 TMA3_s0_a1_ac_ilastik_s2_Probabilities_mask.tiff
6A1,masks/21 11 2021 TMA3_s0_a2_ac_ilastik_s2_Probabilities_mask.tiff
5A2,masks/21 11 2021 TMA3_s0_a3_ac_ilastik_s2_Probabilities_mask.tiff
4A3,masks/21 11 2021 TMA3_s0_a4_ac_ilastik_s2_Probabilities_mask.tiff
4A1,masks/21 11 2021 TMA3_s0_a5_ac_ilastik_s2_Probabilities_mask.tiff
6A2,masks/21 11 2021 TMA3_s0_a6_ac_ilastik_s2_Probabilities_mask.tiff
5A3,masks/21 11 2021 TMA3_s0_a7_ac_ilastik_s2_Probabilities_mask.tiff
5A1,masks/21 11 2021 TMA3_s0_a8_ac_ilastik_s2_Probabilities_mask.tiff
4A2,masks/21 11 2021 TMA3_s0_a9_ac_ilastik_s2_Probabilities_mask.tiff
